label,date,duration,bvid,url,title,core_hits,support_hits,background_hits
out,2026-06-15,46:00,BV1PKjN6aEE3,https://www.bilibili.com/video/BV1PKjN6aEE3/,2026年了，怎么还想着，读研逆天改命，20260615,,,
out,2026-06-12,37:59,BV1EfJ56ZE6Q,https://www.bilibili.com/video/BV1EfJ56ZE6Q/,走投无路，就硬起来，反抗！！！20260612,,,
out,2026-06-07,14:13,BV1AWEt6KEZi,https://www.bilibili.com/video/BV1AWEt6KEZi/,10个辅导员岗9244个研究生竞争，凡事不能脱离群众考虑问题,,,
out,2026-06-06,43:38,BV1AJ7Q6AE6C,https://www.bilibili.com/video/BV1AJ7Q6AE6C/,很多研究生，自认为是牛马，奴隶都不如你，20260606,,,
out,2026-06-05,29:59,BV1517y6wEHo,https://www.bilibili.com/video/BV1517y6wEHo/,没有当初，你现在担心的是，延毕该怎么办，20260605,,,
out,2026-06-04,09:07,BV1CwEP6AEYc,https://www.bilibili.com/video/BV1CwEP6AEYc/,读研最可怕的，是较真师弟，折磨死你！,,,
background,2026-06-02,36:53,BV1zVVr6QEoa,https://www.bilibili.com/video/BV1zVVr6QEoa/,读研造航母，造假都造不出来，你还造真的了，20260602,,,造假
background,2026-05-31,18:55,BV1JYVQ6UEkT,https://www.bilibili.com/video/BV1JYVQ6UEkT/,这年代研究生能毕业的，我都敬你是条汉子，真九九八十一难。耿同学被永久限流，真就是支持学术造假吗？,,,造假;学术
out,2026-05-29,34:11,BV1vxVa6QEdP,https://www.bilibili.com/video/BV1vxVa6QEdP/,柿子都是挑软的捏，刺头巴不得早点滚蛋，20260529,,,
out,2026-05-26,08:05,BV1CEVP6XED3,https://www.bilibili.com/video/BV1CEVP6XED3/,全是AI，脑子转不过来了，感觉在骗我钱！,,,
background,2026-05-25,34:00,BV1fqGo64Ecz,https://www.bilibili.com/video/BV1fqGo64Ecz/,都在说学术打假，可谁来关心研究生们，20260525,,,打假;学术
out,2026-05-24,64:27,BV1CPGH6AEJa,https://www.bilibili.com/video/BV1CPGH6AEJa/,不要过度焦虑，出了问题再解决，20260524,,,
out,2026-05-21,38:19,BV1npLx67E46,https://www.bilibili.com/video/BV1npLx67E46/,吃过最大的饼，导师画的饼，20260521,,,
background,2026-05-20,05:50,BV1SPLU6ZEk4,https://www.bilibili.com/video/BV1SPLU6ZEk4/,毕业答辩不要辩，谦虚礼貌认真听，附答辩PPT制作方法,,,答辩
out,2026-05-18,41:33,BV1u4LP6KEWJ,https://www.bilibili.com/video/BV1u4LP6KEWJ/,读研没你想的那么香，更何况还是跨考，20260518,,,
background,2026-05-16,09:27,BV1zsL56jE72,https://www.bilibili.com/video/BV1zsL56jE72/,天临元年之后，留下的是无脑降重，学术圈风气改变了吗？,,,降重;学术
